scheme,snr_db,seed,abs_C20,abs_C21,abs_C40,abs_C41,abs_C42,abs_C60,abs_C63,occupied_bw_ratio,if_hist_kurtosis,if_hist_peak_count,envelope_variance,phase_diff_entropy
bpsk,0,10001,0.4826353179875159,1.0,0.3884025876977313,0.39967610947277193,0.4001297937847579,1.1506486886667973,2.381596233896161,7.722031817283673,1.1509363878669712,1.0,0.2347946276373954,4.673929612664216
bpsk,0,10002,0.4935416800310918,1.0,0.4501738231424642,0.41749963265704576,0.4160889045161211,1.7251816172154888,2.4230218214519734,14.448159512340201,1.8420453027754986,1.0,0.24203454239000233,4.707246065724256
bpsk,0,10003,0.5030747320183027,0.9999999999999998,0.4599873003350058,0.4501055898853837,0.4524884318537632,1.527084048577177,2.541983495989495,14.251756794152056,1.5143704508296025,1.0,0.23559608548943434,4.68334551705873
bpsk,0,10004,0.48980340462684774,1.0,0.3723478540369029,0.4080776927633651,0.41054530349906493,1.0918848531418397,2.445361796967539,7.783621311956134,2.2329895861824314,1.0,0.23587990659241959,4.691959092237427
bpsk,0,10005,0.5011972664004417,1.0000000000000002,0.3800873859265203,0.42080114184987244,0.4516153555006288,1.2588366495337298,2.5636150178976003,7.732149379717773,1.5318473263779717,1.0,0.2324584182380789,4.681420032675729
bpsk,0,10006,0.4867849431732172,0.9999999999999998,0.3452928135675825,0.4034826183296868,0.41339591740082304,1.1306874732870333,2.4463274099160977,7.710388932975237,2.0937105172880814,1.0,0.237483662284816,4.71911320085097
bpsk,0,10007,0.49241169312875155,1.0,0.416476403106907,0.41125308192205506,0.4016776238349682,1.3310041946197224,2.4151664389055334,7.655432056508151,1.982981143581405,1.0,0.2391538769230244,4.688519489245275
bpsk,0,10008,0.49474286936392553,1.0,0.3927571593354314,0.410417016048804,0.4045619618342349,1.3533520933829981,2.4350097500847454,13.676802271539913,1.1492299764335145,1.0,0.24108864444066952,4.703565522979974
bpsk,0,10009,0.48107130178930757,1.0,0.38704736237930604,0.40342784170384194,0.4005953401963611,1.6370610823032568,2.48015097448954,10.55102845997868,0.7789068150708904,1.0,0.23444563178460925,4.690126457790225
bpsk,0,10010,0.5031974055758525,1.0,0.41377993400688434,0.42788663543941674,0.4339259779457232,1.5936087244092738,2.5226322022007697,12.59780792856318,1.2020131430122536,1.0,0.2395847686057367,4.701389896379075
bpsk,0,10011,0.4818073293713822,0.9999999999999998,0.46381134242773137,0.4113341686033167,0.3970266177058579,1.5791057403697897,2.3822942764524537,10.065046626405977,2.073766617173688,1.0,0.23803148547162414,4.684685052766053
bpsk,0,10012,0.4873206549781607,0.9999999999999999,0.3613928607476213,0.37637012063458936,0.3833052991865218,1.1276430282467327,2.2765132821490486,10.980814221467307,1.2516631235243798,1.0,0.24819379642607414,4.722674929020396
bpsk,0,10013,0.4980710773524782,0.9999999999999997,0.378583174827782,0.3821731187906013,0.39529642338576365,1.1202497292304898,2.4475034792886925,7.729994932673026,1.8143423031031753,1.0,0.24088813969506606,4.701222960385926
bpsk,0,10014,0.49123953185694635,1.0,0.3985638153457846,0.39684631235890994,0.4015785679498909,1.365288987462135,2.4025099476291025,13.218474115254892,1.4676061313511077,1.0,0.24101681998358243,4.674274779180214
bpsk,0,10015,0.5062974083984327,1.0,0.4457677737578891,0.40783596634653446,0.4017402786762494,1.5228304432669417,2.573913430863673,12.641486839035629,1.149460125286489,1.0,0.23758163969591,4.690764060060133
bpsk,0,10016,0.49952997335273064,1.0,0.4007580572758365,0.40671405859044885,0.3908654253501438,1.377746206258054,2.5128771490509525,12.77046940783284,1.0110835381736738,1.0,0.23914975925694154,4.705176621726036
bpsk,0,10017,0.48859012357604514,1.0000000000000002,0.4007323119318747,0.4116597622020109,0.38406645042263965,1.5767237215559158,2.323800662938785,2.8328562591525546,1.5059791513885648,1.0,0.2470829333646245,4.695301367952449
