file,true_scheme,snr_db,pred_scheme,pred_prob,correct
16qam_10dB_2020.wav,16qam,10,16qam,0.9998148484341475,1
16qam_10dB_3020.wav,16qam,10,16qam,0.9998898143485337,1
16qam_10dB_4020.wav,16qam,10,16qam,0.9995872198296235,1
16qam_10dB_5020.wav,16qam,10,16qam,0.9995213117701776,1
16qam_10dB_6020.wav,16qam,10,16qam,0.9998563028385106,1
16qam_10dB_7020.wav,16qam,10,16qam,0.9998692022597852,1
16qam_10dB_8020.wav,16qam,10,16qam,0.9992021109646841,1
16qam_13dB_2021.wav,16qam,13,16qam,0.9997746606690597,1
16qam_13dB_3021.wav,16qam,13,16qam,0.9982640831681914,1
16qam_13dB_4021.wav,16qam,13,16qam,0.9997471550084465,1
16qam_13dB_5021.wav,16qam,13,16qam,0.9940025117913772,1
16qam_13dB_6021.wav,16qam,13,16qam,0.9953195016592947,1
16qam_13dB_7021.wav,16qam,13,16qam,0.9951844820542282,1
16qam_13dB_8021.wav,16qam,13,16qam,0.9995962527985366,1
16qam_15dB_2022.wav,16qam,15,16qam,0.9998205761121286,1
16qam_15dB_3022.wav,16qam,15,16qam,0.99868905997285,1
16qam_15dB_4022.wav,16qam,15,16qam,0.9998839123670668,1
16qam_15dB_5022.wav,16qam,15,16qam,0.9973918829795534,1
16qam_15dB_6022.wav,16qam,15,16qam,0.9998499216077665,1
16qam_15dB_7022.wav,16qam,15,16qam,0.9993845233130061,1
16qam_15dB_8022.wav,16qam,15,16qam,0.9996636587683788,1
16qam_20dB_2023.wav,16qam,20,16qam,0.9990742200184917,1
16qam_20dB_3023.wav,16qam,20,16qam,0.9997668093989198,1
16qam_20dB_4023.wav,16qam,20,16qam,0.9991958461190292,1
16qam_20dB_5023.wav,16qam,20,16qam,0.9999131249283792,1
16qam_20dB_6023.wav,16qam,20,16qam,0.9993392878119619,1
16qam_20dB_7023.wav,16qam,20,16qam,0.9999011986775305,1
16qam_20dB_8023.wav,16qam,20,16qam,0.9992960813488765,1
16qam_4dB_2018.wav,16qam,4,16qam,0.9996581660367863,1
16qam_4dB_3018.wav,16qam,4,16qam,0.9994398208555224,1
16qam_4dB_4018.wav,16qam,4,16qam,0.9997906694308849,1
